Title,tech_stack
Ethical Hacker,"Advanced Python, C/C++;Advanced Python, C/C++, JavaScript;Advanced network security;Advanced networking;Analytical skills;Analytical thinking;Bash scripting;Bash scripting basics;Bash, PowerShell;Bash, PowerShell scripting;Basic cryptography knowledge;Basic cryptography understanding;Basic knowledge of Nmap, Burp Suite;Basic vulnerability assessment;Burp;Burp Suite;Communication;Compliance (NIST, ISO);Compliance and risk assessment;Compliance awareness;Compliance frameworks;Cryptography;Cryptography and SSL/TLS;Cryptography fundamentals;Cryptography, SSL/TLS;Ethical Hacking;Ethical awareness;Ethical compliance;Ethical mindset;Expert network and web security;Expert network security;Familiarity with Metasploit and Burp Suite;Familiarity with Metasploit, Wireshark;Familiarity with Nmap and Wireshark;Familiarity with Nmap, SQLMap;Introduction to penetration testing;Introductory penetration testing;Leadership;Linux;Linux (Kali Linux/Parrot OS) basics;Linux (Kali, Parrot) expert;Linux (Kali/Parrot OS) basics;Linux (Kali/Parrot) advanced;Linux and Windows OS basics;Linux and Windows OS expert;Linux and Windows expert;Linux and Windows security;Linux and Windows security expert;Linux expert;Linux/Windows OS expert;Linux/Windows OS fundamentals;Linux/Windows expert;Malware Analysis;Malware analysis;Malware analysis and reverse engineering;Metasploit;Metasploit, Burp Suite, Nmap, SQLMap;Metasploit, Burp Suite, Nmap, SQLMap, Wireshark;Metasploit, Burp Suite, Nmap, Wireshark;Metasploit, Burp Suite, Nmap, Wireshark, SQLMap;Metasploit, Nmap, Burp Suite, SQLMap;Metasploit, Nmap, Burp Suite, SQLMap, Wireshark;Network Security;Network and application security;Network and application security expert;Network and web security;Network and web security expert;Network penetration testing;Network security expert;Networking basics;Networking fundamentals;Nmap;Penetration Testing;Penetration testing;Penetration testing and vulnerability assessment;Penetration testing fundamentals;Problem-solving;Project management;Python;Python basics;Python, C/C++, JavaScript;Python, C/C++, JavaScript advanced;Reverse engineering;Risk assessment;SQLMap;Security frameworks (NIST, ISO);Teamwork;Vulnerability assessment;Vulnerability assessment basics;Vulnerability scanning;Vulnerability scanning basics;Web Security;Web app security;Web app security basics;Web app security testing;Web application and network security;Web application security;Web application security basics;Web security testing;Windows Security;Windows security and AD;Windows security and Active Directory;Windows security basics;Windows security expert;Wireshark"
Fintech Engineer,"API & microservices architecture;API & microservices design;API Architecture;API Integration;API and microservices architecture;API architecture;API architecture and microservices;API design;API design and microservices;API integration basics;API integration fundamentals;AWS;AWS & Azure cloud;AWS basics;AWS/Azure basics;Adaptability;Agility;Azure basics;Blockchain;Blockchain & smart contracts;Blockchain Technology;Blockchain and DLT;Blockchain and smart contracts;Blockchain basics;Blockchain development;Blockchain fundamentals;Blockchain implementation;Cloud Computing;Cloud basics (AWS/Azure);Cloud computing (AWS, Azure);Cloud computing AWS/Azure;Cloud platforms (AWS, Azure);Cloud platforms AWS/Azure;Collaboration;Communication;Cross-functional collaboration;Cross-functional team collaboration;Cybersecurity;Cybersecurity and compliance;Cybersecurity awareness;Cybersecurity basics;Cybersecurity compliance;Cybersecurity expertise;Cybersecurity fundamentals;Data Analysis;Data analysis basics;DevOps;DevOps automation;DevOps in fintech;DevOps practices;Financial Analysis;Financial Modeling;Financial analysis;Financial analysis and modeling;Financial data analysis;Financial domain knowledge;Financial knowledge basics;Financial modeling;Financial modeling and analysis;Financial modeling and forecasting;Financial products knowledge;Financial products understanding;Innovation;Innovation management;Innovation strategies;Intro to ML;Intro to machine learning;Introductory ML;Introductory data science;Introductory machine learning;JavaScript advanced;JavaScript basics;Leadership;ML analytics;Machine Learning;Machine learning and AI analytics;Machine learning basics;Machine learning for analytics;Machine learning predictive analytics;Machine learning predictive modeling;Microservices architecture;Microservices design;Predictive modeling and automation;Problem-solving;Project leadership;Project management;Python;Python advanced;Python basics;Quantitative modeling;Regulatory Compliance;SQL;SQL advanced;SQL basics;SQL fundamentals;Smart Contracts;Smart contract development;Smart contracts;Smart contracts development;Smart contracts implementation;Stakeholder collaboration;Stakeholder management;Strategic planning;Team leadership;Team management;Teamwork"
Fresher Data Scientist,"Basic ML: classification, regression, clustering;Data Scientist;Data Visualization;Entry Level;Machine Learning;Matplotlib;MongoDB;MySQL;NumPy;Pandas;Python;R;SQL;Seaborn"
Fresher ML Engineer,"Data Preprocessing;Data preprocessing;Data visualization: Matplotlib, Seaborn;Feature engineering;Fresher ML Engineer;Git/GitHub;Java;ML Projects;ML frameworks: Scikit-learn, TensorFlow, PyTorch, Keras;ML fundamentals: regression, classification, clustering, decision trees;Python;R;Statistics: probability, linear algebra;Visualization"
Frontend Developer,"AI Dashboards;Advanced React;Advanced React (Hooks, Redux);Angular;Angular basics;Bootstrap;Browser Developer Tools;CI/CD;CSS;CSS3;Dashboard Development;E-commerce;Enterprise Web Applications;Entry-Level;Fresher;Frontend;Git;HTML;HTML5;JavaScript;JavaScript (ES6+);Lazy loading;Media Streaming;Mid-Senior;PWA;Performance optimization;Performance tuning;React;React basics;React/Redux;Responsive Design;SPA;SPA Development;SPA/PWA;SaaS Development;Senior;Tailwind CSS;Testing automation;UI;UI Development;Unit & E2E testing;Unit/Integration/E2E testing;Vue.js;Vue.js basics;Web Application Development;Web Applications;Web Apps;Web Development"
Full Stack Developer,Agile;Angular;Backend;CI/CD;CSS;CSS3;Cloud;Cloud Development;Cloud Platforms;Django;Django/Flask;Docker;E-commerce;Enterprise Applications;Entry-Level;Experienced;Fintech;Flask;Fresher;Frontend;Full Stack Developer;Git;HTML;HTML5;JavaScript;JavaScript (ES6+);Kubernetes;Microservices;Mid-Level;MongoDB;MySQL;NoSQL;Node.js;PostgreSQL;Python (Django/Flask);RESTful API design;RESTful APIs;React;Redux;SQL;Security;Serverless;TypeScript;Vue.js;Web Development;Web Security
Game Developer,AI and gameplay systems;AI programming;AI/gameplay systems;Adaptability;Advanced AI and gameplay;Advanced AI and gameplay systems;Advanced AI/gameplay systems;Advanced gameplay and AI;Advanced gameplay and AI systems;Advanced gameplay systems;Animation basics;Animation fundamentals;C#;C# advanced;C# basics;C# expert;C++;C++ advanced;C++ basics;C++ expert;Communication;Creativity;Cross-platform deployment;Cross-platform development;Debugging;Debugging and profiling;Debugging basics;DirectX basics;DirectX/OpenGL basics;Game AI;Game Design;Game Mechanics;Game mechanics basics;Game mechanics fundamentals;Gameplay systems;Gameplay systems and AI;Gameplay systems development;Git;Git basics;Godot basics;Graphics Programming;Graphics and performance optimization;Graphics optimization;Java advanced;Java basics;Leadership;Mobile game awareness;Mobile/console development basics;Mobile/console platform awareness;Multiplayer;Multiplayer networking;OpenGL basics;Performance Optimization;Performance optimization;Performance profiling;Physics;Physics and animation basics;Physics and collision basics;Physics and collision handling;Physics and collision systems;Physics basics;Physics simulation;Project management;Python advanced;Python basics;Shader Programming;Shader programming;Shader programming HLSL/GLSL;Team collaboration;Teamwork;Testing and debugging;Testing frameworks;Testing/debugging;Unity;Unity basics;Unity expert;Unreal Engine;Unreal Engine basics;Unreal Engine expert
Graduate Network Engineer,Basic Routing;LAN/WAN;Python Automation;Python Scripting Basics;Routing;Switching
Graduate Security Analyst,Antivirus;Firewall Configuration;Incident Response;Malware Analysis;NIST;NIST Basics;Network Security;Python Basics;Snort;Windows/Linux Basics
Graduate iOS Developer,App Development;Cocoa Touch;Git;MVC;Swift;UIKit;Xcode
Graphic Designer,3D Design;3D Design Basics;AI Design Tools;AR/VR Design;Adaptability;Adobe Creative Suite;Adobe Illustrator;Adobe InDesign;Adobe Photoshop;Adobe XD;Advanced Adobe Photoshop;Advanced Photoshop;After Effects;Animation;Basic Figma;Basic HTML/CSS;Branding;Color Theory;Communication;Creativity;Digital Assets;Figma;Figma Basics;Graphic Design;Illustrator;InDesign;Motion Graphics;Photoshop;Time Management;Typography;UI/UX Design;Web Design;Web Design Basics;Web and Mobile Design
Hybrid Cloud Architect,AWS;Azure;Cloud Architecture;Hybrid Cloud;Hybrid cloud design;Networking;Python;Terraform
IT Support - Networking Focus,DNS;IT Support;LAN/WAN;Network Troubleshooting;Networking;TCP/IP;Troubleshooting
Information Security Analyst,Firewall Basics;Firewall Configuration;GDPR;GDPR Basics;Incident Response;Nessus;Python;SIEM;Snort;Vulnerability Assessment
Information Security Specialist,Incident Response;Python;QRadar;SIEM;SOC;Splunk;Threat Intelligence;Vulnerability Assessment;Vulnerability Management
Infrastructure Network Engineer,Cisco Prime;LAN/WAN;LAN/WAN Design;Nagios;Python;Python Automation;QoS
IoT Engineer,"AWS IoT advanced;AWS IoT basics;AWS, Azure, GCP IoT;Actuator integration;Advanced C programming;Advanced C, C++;Advanced sensor integration;Agile awareness;Agile methodology awareness;Azure IoT advanced;Azure IoT basics;Bluetooth;Bluetooth and Zigbee protocols;C advanced;C basics;C++ advanced;C++ basics;C, C++ advanced;C, C++ expert;CI/CD;CI/CD automation;CI/CD pipelines;Cloud Integration;Cloud IoT;Cloud IoT basics;Cloud platforms (AWS, Azure, GCP);Cloud platforms AWS/Azure/GCP;CoAP;CoAP basics;Communication;Cross-functional collaboration;Cross-team collaboration;Data Pipelines;Data analytics;Data pipelines and analytics;Edge Computing;Edge computing;Embedded Firmware;Embedded Systems;Embedded firmware;Embedded firmware and hardware interfacing;Embedded firmware design;Embedded firmware development;Embedded firmware optimization;Embedded firmware understanding;Embedded systems design;Embedded systems development;GCP IoT advanced;Google Cloud IoT basics;IPv6 basics;IoT Architecture;IoT Protocols;IoT architecture;IoT architecture and deployment;IoT architecture and design;IoT architecture design;IoT system architecture;Java advanced;Java basics;Leadership;LoRa basics;LoRaWAN;MQTT;MQTT basics;MQTT, CoAP, LoRaWAN, NB-IoT;Machine Learning;Machine learning;Machine learning integration;Network optimization;Network security;Network security and optimization;Power BI basics;Problem-solving;Project execution;Project management;Project strategy;Python;Python advanced;Python basics;Python, Java;Real-time analytics;Real-time analytics and ML;Real-time analytics and ML integration;Real-time data analytics;Security;Sensor Integration;Sensor and actuator integration;Sensor fusion and actuator control;Sensor fusion and actuator integration;Sensor integration;Sensor integration and actuator management;Strategic planning;TCP/IP basics;TCP/IP, IPv6;Tableau basics;Team collaboration;Team management;Teamwork;Zigbee;Zigbee basics"
Java Developer,APIs;Advanced Java;Advanced SQL;Agile;Angular;Angular/React;Basic REST API knowledge;CI/CD;CSS;Cassandra;Collections;Collections Framework;Concurrency;Concurrency Basics;Core Java;Database;Database Basics;Database Management;Database Tuning;Debugging;Docker;Encapsulation;Exception Handling;File Handling;Git;Gradle;HTML;HTML/CSS;Hibernate;Hibernate Basics;Inheritance;JDBC;JPA;JSP;JUnit;JUnit Basics;JVM;JVM Internals;Java;Java APIs;Java Collections;Java Developer;Java I/O;JavaScript;JavaScript Basics;Jenkins;Kafka;Kubernetes;Leadership;Maven;Mentoring;Microservices;Mockito;MongoDB;Multithreading;Multithreading Basics;Networking Basics;NoSQL;OOP;Performance Optimization;Performance Tuning;Polymorphism;Problem Solving;REST APIs;RESTful APIs;SOAP;SOAP APIs;SQL;SQL (MySQL/PostgreSQL);SQL Basics;SQL Queries;SVN;Selenium;Servlets;Spring;Spring Basics;Spring Boot;Spring Framework Basics;System Design;Team Collaboration;Teamwork;TestNG;TestNG Basics;Testing;Version Control (Git);Version Control (Git/SVN);Web Development
JavaScript Developer,"AJAX;AJAX/JSON;Adaptability;Advanced JavaScript;Advanced performance optimization;Angular;Angular basics;Async programming;CI/CD;CI/CD basics;CI/CD pipelines;CSS3;CSS3 basics;Communication;Core JavaScript ES6+;Cross-team collaboration;Docker;Docker basics;Docker, CI/CD;ES6+;Express.js;Git;Git basics;GraphQL;HTML5;HTML5 basics;JSON;JavaScript;JavaScript ES6+;JavaScript advanced;JavaScript expert;Jest;Jest, Cypress;Jest, Cypress, Mocha;Jest, Mocha, Cypress;Leadership;Node.js;Performance optimization;Performance tuning;Problem-solving;Project management;REST API;REST API basics;REST API development;REST API integration;REST API knowledge;REST API, GraphQL;REST API/GraphQL;REST APIs;REST APIs, GraphQL;React;React basics;React, Angular, Vue.js;Redux;Redux, Vuex;Redux/Vuex;Responsive design;Team collaboration;Team management;Teamwork;Testing frameworks (Jest, Cypress, Mocha);Testing frameworks (Jest, Mocha, Cypress);Testing frameworks: Jest, Mocha, Cypress;TypeScript;Vue.js;Vue.js basics;Web performance optimization;Webpack;Webpack, Babel;Webpack, Babel, npm, Yarn;npm, Yarn"
Junior Android Developer,Android Studio;Git;Java;Kotlin;Material Design;REST API;SQLite;UI/UX Design;XML
Junior Android Engineer,Android Studio;Git;Java;Kotlin;Material Design;REST API;REST APIs;SQLite;UI/UX Basics;UI/UX Design;XML
Junior Cloud Engineer,AWS;Automation;Azure;CI/CD;CI/CD introduction;Cloud Computing;Cloud networking;Docker;Docker basics;Kubernetes;Kubernetes fundamentals;Python scripting;Scripting
Junior Data Scientist,"Analytics;Basic ML: logistic regression, decision trees, K-means;Data Scientist;Data Visualization;Excel;ML Models;Matplotlib;MySQL;NumPy;Pandas;PostgreSQL;Python;R;SQL;Seaborn"
Junior Interaction Designer,Adobe XD;Figma;Interaction Design;Prototyping;Prototyping Basics;Sketch;Typography;User Research;User Research Fundamentals;Wireframing
Junior Machine Learning Engineer,"Basic ML models: decision trees, K-means, logistic regression;Data Preprocessing;Data preprocessing;Data visualization: Matplotlib, Seaborn;Feature engineering;Git/GitHub;Java;Junior ML Engineer;Kaggle Projects;ML Models;ML frameworks: Scikit-learn, TensorFlow, PyTorch, Keras;ML fundamentals: regression, classification, clustering, decision trees;Machine Learning Engineer;Matplotlib;MongoDB;MySQL;NumPy;Pandas;Python;R;SQL;Seaborn;Statistics: probability, linear algebra;Visualization"
Junior Network Engineer,Cisco IOS;Cisco Routers;Cisco Switches;DHCP;DNS;LAN/WAN;Network Engineer;Subnetting;TCP/IP;Wireshark
Junior Security & Network Engineer,Cisco Routers;Firewall;Firewall Basics;IDS/IPS;IDS/IPS Intro;VPN;Wireshark
Junior Security Analyst,Cryptography;Cryptography Fundamentals;Firewall Configuration;ISO 27001;ISO 27001 Basics;Incident Response;JavaScript Basics;Malware Analysis;Metasploit;Risk Assessment;SIEM;Team Collaboration;Windows Security;Wireshark
Junior Swift Developer,Agile;Git;Objective-C Basics;Swift;UI/UX;UI/UX Guidelines;Xcode;iOS Mobile Development
Junior System Engineer,AWS Fundamentals;Bash Scripting;Cloud Basics;Linux;Linux Basics;Python;System Engineer;System Support;TCP/IP;Troubleshooting;VMware;VirtualBox;Windows Server;Windows Server Basics
Junior UX Analyst,Figma;InVision;Prototyping;User Flows;User Research;User Research Basics;Wireframes;Wireframing
Junior UX Designer,Adobe XD;Basic Usability Testing;Color Theory;Figma;InVision;Information Architecture;Layout Design;Usability Testing;User Research;Wireframing
Junior iOS Developer,Cocoa Touch;Git;Interface Builder;JSON Handling;Objective-C;REST APIs;Swift;Unit Testing;iOS SDK
Lead Android Engineer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Lead Cloud Solutions Architect,AWS;Azure;Cloud Strategy;Cloud cost optimization;Leadership;Microservices;Microservices design;Multi-cloud strategy;Python;Serverless;Serverless architecture;Stakeholder management;Terraform
Lead Cybersecurity Analyst,Cloud Security;Compliance;Leadership;Risk Management;SIEM;Splunk;Team Leadership;Threat Hunting
Lead Data Scientist,AI;AWS;Azure;Big Data;Classification;Data Science;ETL automation;Ensemble methods;Feature Engineering;Git;Hadoop;Java/Scala;Jupyter;Leadership;Machine Learning;NLP;PowerBI;Python;R;Regression;Reinforcement Learning;SQL;Spark;Tableau
Lead ML/AI Engineer,"Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning;Big Data;Big data: Hadoop, Spark;Cloud Deployment;Feature engineering, ETL pipelines;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX;Java;Lead ML/AI Engineer;Leadership;ML/DL;MLOps;MLOps: CI/CD pipelines, monitoring, cloud deployment (AWS/GCP/Azure);Python;R;SQL;Scala"
Lead Machine Learning Engineer,"Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning;Big Data;Big data: Hadoop, Spark;Cloud Deployment;Feature engineering, ETL pipelines;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX;Java;Lead ML Engineer;Leadership;ML/DL;MLOps;MLOps: CI/CD, monitoring, cloud deployment (AWS/GCP/Azure);Python;R;SQL;Scala"
Lead Machine Learning Scientist,AI;AWS;Azure;Big Data;Deep Learning;ETL automation;Ensemble methods;Feature engineering;Hadoop;Java/Scala;Leadership;Machine Learning;NLP;PowerBI;Python;R;Reinforcement Learning;SQL;Spark;Tableau
Lead Network Engineer,Cisco Nexus;F5;F5 Load Balancer;Lead Engineer;Leadership;MPLS;Palo Alto Firewalls;Team Leadership
Lead System Engineer,Cloud Strategy;Enterprise Architecture;Enterprise Systems;Leadership;Linux;System Architecture;Windows Server
Lead UX Designer,Accessibility;Agile;Axure;Design Thinking;Figma;InVision;Information Architecture;Prototyping;Usability Testing;WCAG Standards
Lead iOS Engineer,Agile;CI/CD;Core Text;CoreGraphics;JIRA;Mentoring;Objective-C;Swift
ML Engineer,"Data Preprocessing;Data preprocessing;Data visualization: Matplotlib, Seaborn;Feature engineering;Git/GitHub;Java;ML Engineer Trainee;ML Intern;ML Models;ML Pipelines;ML fundamentals: classification, regression, clustering, supervised/unsupervised learning;ML fundamentals: supervised/unsupervised learning, classification, regression, clustering;ML libraries: Scikit-learn, TensorFlow, PyTorch;ML libraries: Scikit-learn, TensorFlow, PyTorch, Keras;MLOps;Python;R;Statistics and probability;Statistics: probability, linear algebra;Visualization;Visualization: Matplotlib, Seaborn"
Machine Learning Engineer,"Big Data;Big data: Hadoop, Spark;Cloud Deployment;Data Preprocessing;Data preprocessing;Data visualization: Matplotlib, Seaborn;Feature engineering;Feature engineering and ETL automation;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX;Git/GitHub;Java;Keras;ML frameworks: Scikit-learn, TensorFlow, PyTorch, Keras;ML fundamentals: supervised/unsupervised learning, regression, classification, clustering, decision trees;ML/DL;ML/DL: supervised/unsupervised learning, deep learning, reinforcement learning, NLP, computer vision, transfer learning;MLOps;MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure);Machine Learning Engineer;PyTorch;Python;Python (advanced);R;SQL;Scikit-learn;Statistics: probability, linear algebra;TensorFlow;Visualization"
Machine Learning Scientist,AI;AWS;Azure;Big Data;Classification;Deep Learning;ETL pipelines;Feature engineering;Hadoop;Java/Scala;Leadership;Machine Learning;NLP;PowerBI;Python;R;Regression;Reinforcement Learning;SQL;Spark;Tableau
Market Research Analyst,Advanced Analytics;Advanced Data Analysis;Advanced Statistical Analysis;Attention to Detail;Basic Statistical Analysis;Business Strategy;Communication;Competitive Analysis;Competitive Intelligence;Consumer Behavior;Consumer Behavior Analysis;Critical Thinking;Data Analysis;Data Analysis Basics;Data Collection;Data Storytelling;Data Visualization;Data Visualization Basics;Excel;Excel Advanced Functions;Forecasting;Market Research;Market Segmentation;Power BI;Predictive Analytics;Predictive Modeling;Presentation Skills;Python;Python Basics;Qualitative Research;R;Regression;Regression Analysis;Report Writing;SAS;SPSS;SQL;Statistical Analysis;Survey Design;Tableau;Time Management
Marketing Specialist,"AI Marketing Tools;AI-driven marketing tools;AI-driven personalization;AI-powered marketing personalization;AI-powered marketing tools;Adobe Creative Suite basics;Advanced SEO/SEM;Advanced SEO/SEM/PPC;Advanced digital marketing;Advanced digital marketing strategies;Advanced marketing strategy;Analytics;Analytics (GA, Tableau);Analytics (Google Analytics, Tableau);Analytics and ROI optimization;Analytics and ROI reporting;Analytics and reporting;Blogging;Brand Management;Brand management;Budget Management;Budget allocation;Budget and ROI analysis;Budget and ROI management;Budget management;Budget optimization;Budget planning and optimization;Campaign Coordination;Campaign Management;Campaign Optimization;Campaign coordination;Campaign management;Campaign optimization;Canva and Adobe Creative Suite;Canva and WordPress basics;Collaboration;Collaboration and communication;Content Creation;Content Marketing;Content and social media marketing;Content creation;Content creation and social media strategy;Content creation and strategy;Content marketing;Content marketing and creation;Copywriting;Creative;Creative design tools;Data Analysis;Data analysis (Google Analytics, Tableau);Data analysis basics;Data analytics and reporting;Data-driven analytics;Data-driven decision making;Digital Marketing;Digital campaigns management;Digital marketing campaigns;Digital marketing fundamentals;Digital marketing strategy;Digital strategy development;Email Marketing;Email automation;Email campaigns;Email marketing;Email marketing and automation;Email marketing automation;Email marketing basics;Email marketing tools;Emerging marketing technologies;Emerging marketing technologies (AI tools, personalization);Emerging technologies in marketing;Event Management;Event coordination;Event management;Google Analytics;Google Analytics basics;Lead Generation;Lead generation;Lead generation and multi-channel campaigns;Lead generation campaigns;Lead nurturing;Leadership;Leadership and team management;Market Research;Market research;Marketing Automation;Marketing analytics;Marketing analytics and reporting;Marketing automation;Marketing automation tools (Mailchimp, HubSpot);Marketing strategy;Marketing strategy and planning;Multi-channel Marketing;Multi-channel campaign management;Multi-channel campaign planning;Multi-channel campaigns;Multi-channel marketing campaigns;PPC;PPC ads;PPC campaigns;PPC campaigns management;PPC management;SEM;SEM basics;SEO;SEO basics;SEO, SEM, PPC;SEO, SEM, PPC expertise;SEO/SEM;SEO/SEM and PPC campaigns;SEO/SEM optimization;SEO/SEM/PPC;SEO/SEM/PPC campaigns;SEO/SEM/PPC management;SEO/SEM/PPC optimization;Social Media;Social media basics;Social media management;Social media marketing;Social media platforms;Social media strategy;Strategic marketing planning;Team Collaboration;Team Leadership;Team collaboration;Team communication;Team coordination;Team leadership;Team leadership and collaboration;Time management;Video Marketing;Video production basics"
Multi-Cloud Architect,AWS;Azure;Cloud Architecture;GCP;Kubernetes;Leadership;Microservices architecture;Multi-Cloud;Terraform
Network,Cisco IOS;DHCP;Internship;Subnetting;VPN Basics
Network Automation Engineer,Ansible;Automation;Bash;Cisco IOS;Python
Network Engineer,BGP;Cisco Nexus;MPLS;OSPF;QoS;SolarWinds
Network Operations Center (NOC) Engineer,Incident Management;Incident Response;NOC;Nagios;Network Monitoring;SolarWinds;TCP/IP
Network Security Engineer,Cisco ASA;Cryptography;Firewall;Firewalls;IDS/IPS;Network Security;VPN
Network Support Engineer,BGP (Intro);Firewall Basics;Network Support;OSPF;Routing Basics;SolarWinds;Troubleshooting;VPN;VPN Setup
Operations Manager,Adaptability;Basic ERP/CRM Knowledge;Basic Team Coordination;Basic Workflow Management;Budget Management;Budget Monitoring;Budget Oversight;Budgeting;CRM;Collaboration;Communication;Cross-Functional Collaboration;Cross-Functional Coordination;Data Analysis;Data Reporting;Data Reporting Basics;Data-Driven Decisions;ERP;ERP Systems;ERP/CRM Basics;ERP/CRM Systems;ERP/CRM Tools;Financial Reporting;KPI Monitoring;KPI Reporting;KPI Tracking;Lean Management;Observation;Operations Management;Problem Solving;Problem-Solving;Process Automation;Process Awareness;Process Improvement;Process Observation;Process Optimization;Report Preparation;Reporting;Resource Allocation;Resource Optimization;Resource Planning;Scheduling;Six Sigma;Staff Development;Strategic Planning;Team Coordination;Team Leadership;Team Management;Time Management;Workflow Automation;Workflow Awareness;Workflow Improvement;Workflow Management;Workflow Observation;Workflow Optimization
Principal Android Developer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Principal Android Engineer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Principal Data Scientist,AI;AWS;Big Data;Data Science;Deep Learning;ETL automation;Ensemble methods;Feature engineering;GCP;Hadoop;Java/Scala;Leadership;Machine Learning;NLP;PowerBI;Predictive modeling;Python;R;Reinforcement Learning;SQL;Spark;Tableau
Principal Machine Learning Engineer,"Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning;Big Data;Big data: Hadoop, Spark;Cloud Deployment;Feature engineering, ETL automation;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX;Java;Leadership;ML/DL;MLOps;MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure);Principal ML Engineer;Python;R;SQL;Scala"
Principal Network Engineer,Architecture;Architecture Design;Cisco Nexus;Leadership;Palo Alto;Principal Engineer;Project Management;Team Leadership
Principal Security Analyst,Advanced Threat Detection;Cloud Security;Compliance;Leadership;Risk Management;SIEM;SIEM Tools;Threat Hunting
Principal UX Designer,A/B Testing;Design Systems;Figma;InVision;Interaction Design;Leadership;Sketch;User Research
Principal iOS Developer,App Performance Optimization;CI/CD;Core Animation;MVVM;Objective-C;Performance Optimization;Swift
Product Designer,A/B Testing;Accessibility;Adobe Creative Suite;Adobe Illustrator;Adobe Photoshop;Adobe XD;Agile;Agile Methods;Basic JavaScript;CSS;Collaboration;Color Theory;Creativity;Data Analytics;Data-Driven UX;Design Systems;Design Thinking;Figma;Front-End Collaboration;HTML;InVision;Information Architecture;Information Architecture Basics;Innovation;JavaScript;Leadership;Marvel;Mentoring;Product Design;Product Design Strategy;Product Innovation;Prototyping;Prototyping Basics;Responsive Design;Sketch;Stakeholder Alignment;Stakeholder Management;Teamwork;Typography;UI/UX;UI/UX Design;UX/UI;UX/UI Design;Usability Testing;User Flows;User Research;User Research Basics;User Testing;Wireframing
Product Manager,"A/B testing;Adaptability;Advanced analytics and A/B testing;Advanced data analysis;Agile;Agile (Scrum, Kanban basics);Agile Leadership;Agile facilitation;Agile knowledge;Agile leadership;Agile methodologies;Agile methodologies (Scrum, Kanban);Agile methodology knowledge;Backlog grooming;Basic data analytics;Basic product management concepts;Communication;Cross-Functional Collaboration;Cross-functional collaboration;Cross-functional leadership;Cross-functional team leadership;Customer Interviews;Customer-centric design awareness;Data Analysis;Data analysis (Excel, Google Analytics);Data analysis (Excel, SQL basics);Data analysis and A/B testing;Data analysis and experimentation;Data analysis and metrics interpretation;Data analytics fundamentals;Data-Driven Decisions;Data-driven decision making;Growth Metrics;Market Research;Market research;Market research and competitor analysis;Market research fundamentals;Metrics-driven growth;Metrics-driven growth optimization;Metrics-driven product growth;Performance optimization;Performance tracking;Problem-solving;Product Management;Product Strategy;Product lifecycle basics;Product lifecycle understanding;Product strategy basics;Product vision;Product vision and roadmap development;Product vision and roadmap planning;Product vision and strategic planning;Product vision and strategy;Resource allocation;Resource prioritization;Roadmap development;Roadmap development and execution;Roadmap execution;Roadmapping;Scrum and Kanban basics;Sprint planning;Stakeholder Communication;Stakeholder Management;Stakeholder communication;Stakeholder engagement;Stakeholder management;Strategic planning;Teamwork;Tools: Confluence, Figma;Tools: Figma, JIRA, Confluence;Tools: Figma, Mixpanel, Tableau, GA;Tools: JIRA, Confluence;Tools: JIRA, Confluence, Figma basics;Tools: JIRA, Confluence, Figma, Mixpanel, Tableau;Tools: JIRA, Confluence, Mixpanel, GA, Tableau;Tools: JIRA, Confluence, Tableau, Figma;Tools: JIRA, Confluence, Tableau, Mixpanel;Tools: JIRA, Figma;Tools: JIRA, Figma, Mixpanel, Tableau;UX;UX awareness;UX principles awareness;UX research and integration;UX research integration;UX/UI awareness;User Experience;User experience research;User research and UX integration;User research integration;User-Centered Design"
